DateKey,WarehouseID,TargetRevenue,TargetCostPct
20250101,1,1884323.12,0.18
20250101,2,1436572.24,0.18
20250101,3,1645409.75,0.18
20250101,4,1091537.96,0.18
20250101,5,1120335.55,0.18
20250201,1,2302089.59,0.18
20250201,2,1404981.58,0.18
20250201,3,1725490.86,0.18
20250201,4,994802.87,0.18
20250201,5,983291.67,0.18
20250301,1,1394231.05,0.18
20250301,2,1454087.35,0.18
20250301,3,1885704.2,0.18
20250301,4,1134202.63,0.18
20250301,5,1032294.49,0.18
20250401,1,1472609.53,0.18
20250401,2,1578754.61,0.18
20250401,3,1318836.56,0.18
20250401,4,1136402.63,0.18
20250401,5,1183710.6,0.18
20250501,1,1916310.26,0.18
20250501,2,1417450.98,0.18
20250501,3,1596662.13,0.18
20250501,4,1180956.21,0.18
20250501,5,922483.7,0.18
20250601,1,2134920.81,0.18
20250601,2,2010694.03,0.18
20250601,3,1715003.11,0.18
20250601,4,1207978.5,0.18
20250601,5,1106761.26,0.18
20250701,1,1786623.3,0.18
20250701,2,1522470.41,0.18
20250701,3,1588172.9,0.18
20250701,4,1133358.76,0.18
20250701,5,1405634.66,0.18
20250801,1,1668642.52,0.18
20250801,2,1189232.42,0.18
20250801,3,1833985.66,0.18
20250801,4,998253.21,0.18
20250801,5,1257797.56,0.18
20250901,1,2246000.84,0.18
20250901,2,1397002.09,0.18
20250901,3,2058412.75,0.18
20250901,4,1037979.4,0.18
20250901,5,960600.06,0.18
20251001,1,1700210.43,0.18
20251001,2,1979638.0,0.18
20251001,3,1442253.21,0.18
20251001,4,1092021.03,0.18
20251001,5,836769.54,0.18
20251101,1,1417785.82,0.18
20251101,2,1833181.06,0.18
20251101,3,1678649.77,0.18
20251101,4,970838.08,0.18
20251101,5,996664.81,0.18
20251201,1,1831285.1,0.18
20251201,2,1634525.48,0.18
20251201,3,1845689.34,0.18
20251201,4,1224297.08,0.18
20251201,5,1018376.28,0.18
20260101,1,1663652.57,0.18
20260101,2,1574136.21,0.18
20260101,3,1649874.54,0.18
20260101,4,1039450.6,0.18
20260101,5,991649.51,0.18
20260201,1,1938184.83,0.18
20260201,2,1699253.87,0.18
20260201,3,1449244.13,0.18
20260201,4,1071160.88,0.18
20260201,5,1165174.94,0.18
20260301,1,2003114.97,0.18
20260301,2,1311787.43,0.18
20260301,3,1291890.92,0.18
20260301,4,1063680.59,0.18
20260301,5,1121461.09,0.18
20260401,1,1980260.93,0.18
20260401,2,1315462.34,0.18
20260401,3,1740037.74,0.18
20260401,4,1298046.0,0.18
20260401,5,1156245.47,0.18
20260501,1,1655270.89,0.18
20260501,2,1623885.71,0.18
20260501,3,1413697.63,0.18
20260501,4,1062769.07,0.18
20260501,5,829224.52,0.18
20260601,1,1928838.43,0.18
20260601,2,1930581.23,0.18
20260601,3,1733775.95,0.18
20260601,4,1229785.93,0.18
20260601,5,1111918.56,0.18
20260701,1,1770020.86,0.18
20260701,2,1509028.84,0.18
20260701,3,1505970.54,0.18
20260701,4,1432561.61,0.18
20260701,5,1186301.18,0.18
20260801,1,1698230.71,0.18
20260801,2,2025549.78,0.18
20260801,3,1614419.65,0.18
20260801,4,1231782.19,0.18
20260801,5,1065746.69,0.18
