OrderID,CostTypeID,Amount
1,1,2846.47
1,2,1457.51
1,3,1116.66
1,4,1851.47
1,5,363.97
2,1,265.66
2,2,147.65
2,3,116.86
2,4,210.13
2,5,43.44
3,1,711.1
3,2,363.72
3,3,285.1
3,4,424.85
3,5,101.29
4,1,1646.92
4,2,922.51
4,3,728.37
4,4,1307.54
4,5,269.84
5,1,406.38
5,2,234.26
5,3,155.85
5,4,299.83
5,5,59.69
6,1,150.76
6,2,77.36
6,3,58.16
6,4,92.14
6,5,19.17
7,1,164.84
7,2,99.33
7,3,73.39
7,4,123.07
7,5,23.43
8,1,3717.58
8,2,1878.34
8,3,1621.2
8,4,2506.38
8,5,485.72
9,1,280.7
9,2,151.39
9,3,124.8
9,4,194.43
9,5,39.85
10,1,139.88
10,2,76.39
10,3,59.54
10,4,89.52
10,5,20.16
11,1,456.52
11,2,302.19
11,3,218.72
11,4,337.63
11,5,64.42
12,1,422.05
12,2,246.58
12,3,201.85
12,4,303.24
12,5,67.15
13,1,203.21
13,2,129.25
13,3,93.99
13,4,139.56
13,5,30.27
14,1,156.19
14,2,90.77
14,3,68.1
14,4,115.0
14,5,21.39
15,1,798.15
15,2,449.24
15,3,391.7
15,4,572.66
15,5,125.88
16,1,413.28
16,2,196.17
16,3,157.87
16,4,268.72
16,5,55.09
17,1,1121.47
17,2,653.99
17,3,514.43
17,4,802.15
17,5,146.89
18,1,186.01
18,2,106.51
18,3,70.09
18,4,113.98
18,5,25.71
19,1,277.34
19,2,167.85
19,3,109.77
19,4,190.22
19,5,37.4
20,1,256.02
20,2,163.46
20,3,122.16
20,4,198.84
20,5,35.25
21,1,259.75
21,2,148.5
21,3,129.28
21,4,219.81
21,5,37.26
22,1,184.9
22,2,106.37
22,3,86.94
22,4,121.99
22,5,24.56
23,1,382.27
23,2,234.2
23,3,187.32
23,4,290.72
23,5,51.66
24,1,295.23
24,2,165.16
24,3,109.51
24,4,215.12
24,5,42.84
25,1,251.95
25,2,132.65
25,3,98.79
25,4,190.81
25,5,34.97
26,1,253.34
26,2,146.93
26,3,111.46
26,4,173.29
26,5,36.66
27,1,231.06
27,2,119.18
27,3,89.01
27,4,149.95
27,5,34.19
28,1,480.44
28,2,266.19
28,3,239.21
28,4,400.46
28,5,69.19
29,1,118.7
29,2,62.23
29,3,53.77
29,4,78.44
29,5,16.32
30,1,156.66
30,2,92.1
30,3,59.51
30,4,118.02
30,5,21.8
31,1,331.76
31,2,193.45
31,3,142.11
31,4,254.11
31,5,46.98
32,1,224.72
32,2,127.47
32,3,102.77
32,4,154.75
32,5,28.87
33,1,103.18
33,2,62.89
33,3,47.19
33,4,75.61
33,5,14.36
34,1,1258.78
34,2,739.76
34,3,488.92
34,4,815.59
34,5,193.04
35,1,801.87
35,2,490.52
35,3,417.53
35,4,695.37
35,5,119.68
36,1,179.35
36,2,120.56
36,3,77.97
36,4,135.86
36,5,29.58
37,1,59.84
37,2,32.55
37,3,25.79
37,4,39.16
37,5,7.97
38,1,322.72
38,2,174.12
38,3,135.32
38,4,213.33
38,5,41.31
39,1,255.89
39,2,147.73
39,3,104.07
39,4,163.72
39,5,35.41
40,1,742.05
40,2,389.28
40,3,310.44
40,4,468.7
40,5,106.56
41,1,259.43
41,2,134.31
41,3,97.5
41,4,167.68
41,5,34.58
42,1,162.38
42,2,83.68
42,3,59.47
42,4,102.5
42,5,19.54
43,1,45.64
43,2,27.6
43,3,20.69
43,4,31.15
43,5,6.63
44,1,43.91
44,2,23.64
44,3,20.65
44,4,30.26
44,5,6.54
45,1,31.47
45,2,17.74
45,3,12.88
45,4,24.76
45,5,4.52
46,1,163.12
46,2,106.99
46,3,79.15
46,4,121.4
46,5,22.57
47,1,227.89
47,2,115.38
47,3,87.02
47,4,155.01
47,5,30.83
48,1,112.75
48,2,68.43
48,3,51.78
48,4,93.53
48,5,18.06
49,1,858.54
49,2,485.22
49,3,354.61
49,4,610.28
49,5,123.19
50,1,181.9
50,2,111.44
50,3,78.58
50,4,130.04
50,5,29.0
51,1,81.27
51,2,51.79
51,3,37.25
51,4,55.68
51,5,12.53
52,1,915.93
52,2,459.7
52,3,366.44
52,4,659.92
52,5,119.27
53,1,633.37
53,2,313.39
53,3,261.38
53,4,421.58
53,5,84.89
54,1,131.87
54,2,81.67
54,3,59.39
54,4,97.52
54,5,19.66
55,1,202.11
55,2,101.86
55,3,86.74
55,4,133.02
55,5,26.38
56,1,382.43
56,2,235.44
56,3,169.77
56,4,243.89
56,5,54.79
57,1,530.54
57,2,344.26
57,3,230.03
57,4,377.75
57,5,90.87
58,1,407.86
58,2,251.68
58,3,189.42
58,4,325.0
58,5,63.43
59,1,57.69
59,2,27.55
59,3,21.74
59,4,34.86
59,5,7.16
60,1,486.01
60,2,282.09
60,3,181.99
60,4,308.46
60,5,60.87
61,1,45.6
61,2,27.58
61,3,21.5
61,4,33.62
61,5,7.23
62,1,135.92
62,2,78.35
62,3,65.87
62,4,103.66
62,5,20.27
63,1,174.32
63,2,92.63
63,3,72.91
63,4,106.76
63,5,22.24
64,1,654.03
64,2,376.96
64,3,236.62
64,4,453.64
64,5,82.81
65,1,278.81
65,2,167.38
65,3,125.84
65,4,205.07
65,5,40.15
66,1,469.97
66,2,275.76
66,3,203.92
66,4,302.48
66,5,61.92
67,1,1639.45
67,2,1031.09
67,3,665.51
67,4,1066.08
67,5,228.71
68,1,1142.55
68,2,605.88
68,3,487.65
68,4,774.38
68,5,167.65
69,1,353.32
69,2,189.18
69,3,144.59
69,4,224.82
69,5,47.52
70,1,390.2
70,2,191.81
70,3,150.61
70,4,275.15
70,5,54.33
71,1,200.17
71,2,129.98
71,3,90.82
71,4,165.01
71,5,27.81
72,1,106.57
72,2,61.1
72,3,42.61
72,4,71.81
72,5,14.31
73,1,815.26
73,2,420.78
73,3,337.1
73,4,565.71
73,5,102.83
74,1,59.74
74,2,40.45
74,3,29.15
74,4,43.26
74,5,9.33
75,1,261.38
75,2,165.07
75,3,132.22
75,4,202.88
75,5,38.18
76,1,406.05
76,2,202.39
76,3,175.78
76,4,247.67
76,5,49.5
77,1,789.63
77,2,418.41
77,3,306.57
77,4,486.61
77,5,110.67
78,1,739.36
78,2,408.79
78,3,303.74
78,4,470.56
78,5,92.43
79,1,662.93
