OrderID,DateKey,ClientID,SKUID,WarehouseID,Quantity,Revenue,COGS,FulfillmentCost,OrderDate,ShipDate,DeliveryDate,PromisedDeliveryDate
1,20250107,3,52,4,4,35622.84,27566.76,7636.08,2025-01-07,2025-01-09,2025-01-11,2025-01-13
2,20250107,3,51,4,4,2820.08,1729.0,783.74,2025-01-07,2025-01-10,2025-01-12,2025-01-13
3,20250107,3,38,5,3,11522.82,8979.15,1886.06,2025-01-07,2025-01-08,2025-01-10,2025-01-13
4,20250108,3,13,2,4,23144.72,19516.08,4875.18,2025-01-08,2025-01-11,2025-01-14,2025-01-14
5,20250108,3,43,1,5,7345.65,4439.25,1156.01,2025-01-08,2025-01-10,2025-01-12,2025-01-14
6,20250108,3,2,1,4,2564.96,1358.4,397.59,2025-01-08,2025-01-10,2025-01-12,2025-01-14
7,20250109,3,42,3,1,2627.91,1950.66,484.06,2025-01-09,2025-01-10,2025-01-14,2025-01-15
8,20250109,3,52,2,5,44528.55,34458.45,10209.22,2025-01-09,2025-01-10,2025-01-17,2025-01-15
9,20250109,3,48,5,4,4488.32,3060.76,791.17,2025-01-09,2025-01-10,2025-01-13,2025-01-15
10,20250109,3,10,1,2,2420.1,1870.44,385.49,2025-01-09,2025-01-10,2025-01-12,2025-01-15
11,20250110,3,54,2,2,6028.04,4261.68,1379.48,2025-01-10,2025-01-11,2025-01-15,2025-01-16
12,20250110,3,56,2,1,6685.4,5192.61,1240.87,2025-01-10,2025-01-11,2025-01-13,2025-01-16
13,20250110,3,16,1,1,3900.32,3098.08,596.28,2025-01-10,2025-01-11,2025-01-14,2025-01-16
14,20250110,3,39,3,1,2451.3,1683.14,451.45,2025-01-10,2025-01-11,2025-01-13,2025-01-16
15,20250112,3,28,1,5,13674.65,8664.25,2337.63,2025-01-12,2025-01-13,2025-01-17,2025-01-18
16,20250113,3,32,1,3,7640.13,5369.46,1091.13,2025-01-13,2025-01-16,2025-01-19,2025-01-19
17,20250113,3,13,1,4,23144.72,19516.08,3238.93,2025-01-13,2025-01-14,2025-01-17,2025-01-19
18,20250114,3,20,1,5,3771.1,1633.55,502.3,2025-01-14,2025-01-15,2025-01-17,2025-01-20
19,20250114,3,41,5,4,4676.4,3263.8,782.58,2025-01-14,2025-01-15,2025-01-17,2025-01-20
20,20250114,3,4,2,4,4386.48,2483.16,775.73,2025-01-14,2025-01-15,2025-01-17,2025-01-20
21,20250114,3,10,4,3,3630.15,2805.66,794.6,2025-01-14,2025-01-15,2025-01-18,2025-01-20
22,20250114,3,16,1,1,3900.32,3098.08,524.76,2025-01-14,2025-01-15,2025-01-18,2025-01-20
23,20250115,3,59,2,2,6576.42,5352.34,1146.17,2025-01-15,2025-01-16,2025-01-18,2025-01-21
24,20250115,3,31,3,4,4329.36,2634.68,827.86,2025-01-15,2025-01-16,2025-01-19,2025-01-21
25,20250116,3,22,2,4,3786.4,1740.36,709.17,2025-01-16,2025-01-19,2025-01-23,2025-01-22
26,20250116,3,19,2,4,4070.72,2132.96,721.68,2025-01-16,2025-01-21,2025-01-24,2025-01-22
27,20250116,3,20,3,5,3771.1,1633.55,623.39,2025-01-16,2025-01-17,2025-01-21,2025-01-22
28,20250116,3,32,5,3,7640.13,5369.46,1455.49,2025-01-16,2025-01-17,2025-01-21,2025-01-22
29,20250116,3,25,1,5,2191.0,1112.05,329.46,2025-01-16,2025-01-19,2025-01-23,2025-01-22
30,20250116,3,29,3,3,2775.33,2068.14,448.09,2025-01-16,2025-01-18,2025-01-20,2025-01-22
31,20250117,3,32,5,2,5093.42,3579.64,968.41,2025-01-17,2025-01-18,2025-01-22,2025-01-23
32,20250117,3,27,5,2,3852.3,2493.62,638.58,2025-01-17,2025-01-19,2025-01-21,2025-01-23
33,20250118,3,45,2,1,1755.23,1136.94,303.23,2025-01-18,2025-01-20,2025-01-22,2025-01-24
34,20250118,3,16,3,5,19501.6,15490.4,3496.09,2025-01-18,2025-01-19,2025-01-21,2025-01-24
35,20250118,3,15,2,3,12779.88,9850.02,2524.97,2025-01-18,2025-01-20,2025-01-24,2025-01-24
36,20250118,3,5,2,3,2369.91,1408.59,543.32,2025-01-18,2025-01-19,2025-01-26,2025-01-24
37,20250120,3,41,1,1,1169.1,815.95,165.31,2025-01-20,2025-01-21,2025-01-24,2025-01-26
38,20250120,3,6,5,3,4344.78,2164.74,886.8,2025-01-20,2025-01-21,2025-01-23,2025-01-26
39,20250120,3,17,5,4,3262.64,2824.84,706.82,2025-01-20,2025-01-21,2025-01-25,2025-01-26
40,20250120,3,49,5,4,9310.76,5759.84,2017.03,2025-01-20,2025-01-22,2025-01-24,2025-01-26
41,20250120,3,3,5,3,3177.3,1610.25,693.5,2025-01-20,2025-01-21,2025-01-23,2025-01-26
42,20250120,3,25,2,5,2191.0,1112.05,427.57,2025-01-20,2025-01-22,2025-01-24,2025-01-26
43,20250121,3,51,3,1,705.02,432.25,131.71,2025-01-21,2025-01-22,2025-01-25,2025-01-27
44,20250121,3,51,5,1,705.02,432.25,125.0,2025-01-21,2025-01-26,2025-02-02,2025-01-27
45,20250121,3,8,3,1,604.21,366.72,91.37,2025-01-21,2025-01-22,2025-01-25,2025-01-27
46,20250121,3,17,1,4,3262.64,2824.84,493.23,2025-01-21,2025-01-23,2025-01-25,2025-01-27
47,20250122,3,5,1,5,3949.85,2347.65,616.13,2025-01-22,2025-01-23,2025-01-25,2025-01-28
48,20250123,11,17,2,2,1631.32,1412.42,344.55,2025-01-23,2025-01-24,2025-01-26,2025-01-28
49,20250123,3,36,1,5,15917.7,11711.2,2431.84,2025-01-23,2025-01-25,2025-01-27,2025-01-29
50,20250123,11,49,2,1,2327.69,1439.96,530.96,2025-01-23,2025-01-25,2025-01-27,2025-01-28
51,20250123,3,43,3,1,1469.13,887.85,238.52,2025-01-23,2025-01-24,2025-01-26,2025-01-29
52,20250123,11,42,3,5,13139.55,9753.3,2521.26,2025-01-23,2025-01-25,2025-01-27,2025-01-28
53,20250123,3,18,4,3,6088.47,5406.75,1714.61,2025-01-23,2025-01-24,2025-01-26,2025-01-29
54,20250123,3,37,3,1,2570.99,1917.19,390.11,2025-01-23,2025-01-25,2025-01-27,2025-01-29
55,20250123,3,24,2,3,2539.62,1252.47,550.11,2025-01-23,2025-01-24,2025-01-26,2025-01-29
56,20250123,3,11,4,1,4129.73,3216.77,1086.32,2025-01-23,2025-01-24,2025-01-27,2025-01-29
57,20250124,11,44,3,5,8813.65,6595.05,1573.45,2025-01-24,2025-01-25,2025-01-27,2025-01-29
58,20250124,3,49,2,3,6983.07,4319.88,1237.39,2025-01-24,2025-01-25,2025-01-27,2025-01-30
59,20250124,3,25,3,2,876.4,444.82,149.0,2025-01-24,2025-01-26,2025-01-30,2025-01-30
60,20250124,11,27,2,4,7704.6,4987.24,1319.42,2025-01-24,2025-01-25,2025-01-29,2025-01-29
61,20250125,3,5,3,1,789.97,469.53,135.53,2025-01-25,2025-01-26,2025-01-29,2025-01-31
62,20250125,11,53,1,1,3013.4,2392.38,404.07,2025-01-25,2025-01-26,2025-01-29,2025-01-30
63,20250125,11,5,1,4,3159.88,1878.12,468.86,2025-01-25,2025-01-26,2025-01-29,2025-01-30
64,20250125,11,57,3,5,11206.5,8915.35,1804.06,2025-01-25,2025-01-30,2025-02-01,2025-01-30
65,20250125,11,20,4,5,3771.1,1633.55,817.25,2025-01-25,2025-01-26,2025-01-28,2025-01-30
66,20250125,11,56,5,1,6685.4,5192.61,1314.05,2025-01-25,2025-01-26,2025-01-28,2025-01-30
67,20250125,11,13,2,4,23144.72,19516.08,4630.84,2025-01-25,2025-01-30,2025-02-01,2025-01-30
68,20250125,11,12,1,4,18467.28,15135.16,3178.11,2025-01-25,2025-01-26,2025-01-29,2025-01-30
69,20250125,11,39,1,3,7353.9,5049.42,959.43,2025-01-25,2025-01-26,2025-01-29,2025-01-30
70,20250126,11,59,3,2,6576.42,5352.34,1062.1,2025-01-26,2025-01-27,2025-01-29,2025-01-31
71,20250126,11,45,3,2,3510.46,2273.88,613.79,2025-01-26,2025-01-29,2025-01-31,2025-01-31
72,20250126,11,51,2,2,1410.04,864.5,296.4,2025-01-26,2025-01-28,2025-01-31,2025-01-31
73,20250126,11,59,3,4,13152.84,10704.68,2241.68,2025-01-26,2025-01-27,2025-01-29,2025-01-31
74,20250126,3,10,1,1,1210.05,935.22,181.93,2025-01-26,2025-01-27,2025-01-30,2025-02-01
75,20250126,11,22,5,5,4733.0,2175.45,799.73,2025-01-26,2025-01-27,2025-01-29,2025-01-31
76,20250126,3,47,2,4,5636.4,4133.0,1081.39,2025-01-26,2025-01-28,2025-02-04,2025-02-01
77,20250127,11,37,5,4,10283.96,7668.76,2111.89,2025-01-27,2025-01-29,2025-02-01,2025-02-01
78,20250127,3,53,1,5,15067.0,11961.9,2014.88,2025-01-27,2025-01-28,2025-01-31,2025-02-02
79,20250127,3,18,2,5,10147.45,9011.25,1814.78,2025-01-27,2025-01-28,2025-02-01,2025-02-02
80,20250127,8,57,2,1,2241.3,1783.07,436.82,2025-01-27,2025-01-28,2025-01-30,2025-02-03
81,20250127,11,22,4,2,1893.2,870.18,407.74,2025-01-27,2025-01-30,2025-02-01,2025-02-01
82,20250127,3,49,4,4,9310.76,5759.84,2408.24,2025-01-27,2025-01-30,2025-02-01,2025-02-02
83,20250127,3,36,5,5,15917.7,11711.2,3049.56,2025-01-27,2025-01-28,2025-01-30,2025-02-02
84,20250127,11,51,3,1,705.02,432.25,105.86,2025-01-27,2025-01-30,2025-02-02,2025-02-01
85,20250127,11,33,3,2,4095.38,2828.5,652.62,2025-01-27,2025-01-28,2025-01-30,2025-02-01
86,20250127,3,43,3,5,7345.65,4439.25,1426.58,2025-01-27,2025-01-28,2025-01-31,2025-02-02
87,20250127,8,3,3,3,3177.3,1610.25,500.22,2025-01-27,2025-01-28,2025-01-31,2025-02-03
